Description;label;variable;distribution;lower;median;upper;unit;;;;;
Crop yield;Potato yield;potato_yield;posnorm;10000.00;;20000.00;kg/ha;;;;;
Crop yield;Shallot yield;shallot_yield;posnorm;6000.00;;12000.00;kg/ha;;;;;
Crop yield;Chili yield;chili_yield;posnorm;5500.00;;11000.00;kg/ha;;;;;
Crop yield;Carrot yield;carrot_yield;posnorm;11000.00;;22000.00;kg/ha;;;;;
Crop yield;Cabbage yield;cabbage_yield;posnorm;17000.00;;34000.00;kg/ha;;;;;
Crop yield;Rice yield;rice_yield;posnorm;3000.00;;6000.00;kg/ha;;;;;
Crop price;Potato price;potato_price;posnorm;5000.00;;15000.00;IDR/kg;;;;;
Crop price;Shallot price;shallot_price;posnorm;10000.00;;50000.00;IDR/kg;;;;;
Crop price;Chili price;chili_price;posnorm;5000.00;;60000.00;IDR/kg;;;;;
Crop price;Carrot price;carrot_price;posnorm;2000.00;;12000.00;IDR/kg;;;;;
Crop price;Cabbage price;cabbage_price;posnorm;1000.00;;8000.00;IDR/kg;;;;;
Crop price;Rice price;rice_price;posnorm;3000.00;;6000.00;IDR/kg;;;;;
Water use;Potato water use;potato_water_use;posnorm;1500.00;;2500.00;m3/ha;;;;;
Water use;Shallot water use;shallot_water_use;posnorm;1000.00;;2000.00;m3/ha;;;;;
Water use;Chili water use;chili_water_use;posnorm;1200.00;;2500.00;m3/ha;;;;;
Water use;Carrot water use;carrot_water_use;posnorm;1200.00;;2200.00;m3/ha;;;;;
Water use;Cabbage water use;cabbage_water_use;posnorm;1500.00;;3000.00;m3/ha;;;;;
Water use;Rice water use;rice_water_use;posnorm;3000.00;;6000.00;m3/ha;;;;;
Nutrient;Potato calories;potato_calories;posnorm;70.00;;80.00;kcal/100 g;;;;;
Nutrient;Shallot calories;shallot_calories;posnorm;35.00;;45.00;kcal/100 g;;;;;
Nutrient;Chili calories;chili_calories;posnorm;35.00;;45.00;kcal/100 g;;;;;
Nutrient;Carrot calories;carrot_calories;posnorm;36.00;;46.00;kcal/100 g;;;;;
Nutrient;Cabbage calories;cabbage_calories;posnorm;20.00;;30.00;kcal/100 g;;;;;
Nutrient;Rice calories;rice_calories;posnorm;120.00;;140.00;kcal/100 g;;;;;
Nutrient;Potato protein;potato_protein;posnorm;1.70;;2.30;g/100 g;;;;;
Nutrient;Shallot protein;shallot_protein;posnorm;0.80;;1.40;g/100 g;;;;;
Nutrient;Chili protein;chili_protein;posnorm;1.70;;2.10;g/100 g;;;;;
Nutrient;Carrot protein;carrot_protein;posnorm;1.00;;1.50;g/100 g;;;;;
Nutrient;Cabbage protein;cabbage_protein;posnorm;2.50;;3.00;g/100 g;;;;;
Nutrient;Rice protein;rice_protein;posnorm;120.00;;140.00;g/100 g;;;;;
Nutrient;Potato fat;potato_fat;posnorm;0.05;;0.15;g/100 g;;;;;
Nutrient;Shallot fat;shallot_fat;posnorm;0.05;;0.15;g/100 g;;;;;
Nutrient;Chili fat;chili_fat;posnorm;0.15;;0.25;g/100 g;;;;;
Nutrient;Carrot fat;carrot_fat;posnorm;0.15;;0.25;g/100 g;;;;;
Nutrient;Cabbage fat;cabbage_fat;posnorm;0.15;;0.25;g/100 g;;;;;
Nutrient;Rice fat;rice_fat;posnorm;0.25;;0.35;g/100 g;;;;;
Nutrient;Potato carbohydrates;potato_carbohydrates;posnorm;17.00;;18.00;g/100 g;;;;;
Nutrient;Shallot carbohydrates;shallot_carbohydrates;posnorm;8.50;;10.00;g/100 g;;;;;
Nutrient;Chili carbohydrates;chili_carbohydrates;posnorm;8.00;;9.20;g/100 g;;;;;
Nutrient;Carrot carbohydrates;carrot_carbohydrates;posnorm;9.30;;10.50;g/100 g;;;;;
Nutrient;Cabbage carbohydrates;cabbage_carbohydrates;posnorm;5.00;;6.50;g/100 g;;;;;
Nutrient;Rice carbohydrates;rice_carbohydrates;posnorm;28.00;;29.30;g/100 g;;;;;
Nutrient;Potato fiber;potato_fiber;posnorm;2.00;;2.50;g/100 g;;;;;
Nutrient;Shallot fiber;shallot_fiber;posnorm;1.40;;2.00;g/100 g;;;;;
Nutrient;Chili fiber;chili_fiber;posnorm;1.20;;1.80;g/100 g;;;;;
Nutrient;Carrot fiber;carrot_fiber;posnorm;2.50;;3.50;g/100 g;;;;;
Nutrient;Cabbage fiber;cabbage_fiber;posnorm;2.30;;3.00;g/100 g;;;;;
Nutrient;Rice fiber;rice_fiber;posnorm;0.20;;0.60;g/100 g;;;;;
Nutrient;Chili Vit A;chili_vitA;posnorm;940.00;;970.00;IU/ 100 g;;;;;
Nutrient;Carrot Vit A;carrot_vitA;posnorm;16500.00;;17000.00;IU/ 100 g;;;;;
Nutrient;Cabbage Vit A;cabbage_vitA;posnorm;88.00;;118.00;IU/ 100 g;;;;;
Nutrient;Potato Vit C;potato_vitC;posnorm;19.00;;20.00;mg/100 g;;;;;
Nutrient;Shallot Vit C;shallot_vitC;posnorm;7.00;;8.00;mg/100 g;;;;;
Nutrient;Chili Vit C;chili_vitC;posnorm;75.00;;80.00;mg/100 g;;;;;
Nutrient;Carrot Vit C;carrot_vitC;posnorm;5.50;;6.50;mg/100 g;;;;;
Nutrient;Cabbage Vit C;cabbage_vitC;posnorm;36.00;;37.50;mg/100 g;;;;;
Nutrient;Potato Vit B3;potato_vitB3;posnorm;1.40;;2.40;mg/100 g;;;;;
Nutrient;Shallot Vit B3;shallot_vitB3;posnorm;0.05;;0.50;mg/100 g;;;;;
Nutrient;Chili Vit B3;chili_vitB3;posnorm;1.00;;2.00;mg/100 g;;;;;
Nutrient;Carrot Vit B3;carrot_vitB3;posnorm;0.30;;0.80;mg/100 g;;;;;
Nutrient;Cabbage Vit B3;cabbage_vitB3;posnorm;0.40;;1.00;mg/100 g;;;;;
Nutrient;Rice Vit B3;rice_vitB3;posnorm;1.50;;2.50;mg/100 g;;;;;
Nutrient;Potato Folate;potato_folate;posnorm;8.00;;12.00;mcg/100 g;;;;;
Nutrient;Shallot Folate;shallot_folate;posnorm;17.00;;21.00;mcg/100 g;;;;;
Nutrient;Chili Folate;chili_folate;posnorm;21.00;;25.00;mcg/100 g;;;;;
Nutrient;Carrot Folate;carrot_folate;posnorm;17.00;;21.00;mcg/100 g;;;;;
Nutrient;Cabbage Folate;cabbage_folate;posnorm;41.00;;45.00;mcg/100 g;;;;;
Nutrient;Rice Folate;rice_folate;posnorm;18.00;;22.00;mcg/100 g;;;;;
Nutrient;Potato calcium;potato_calcium;posnorm;10.00;;14.00;mg/100 g;;;;;
Nutrient;Shallot calcium;shallot_calcium;posnorm;21.00;;25.00;mg/100 g;;;;;
Nutrient;Chili calcium;chili_calcium;posnorm;12.00;;16.00;mg/100 g;;;;;
Nutrient;Carrot calcium;carrot_calcium;posnorm;35.00;;39.00;mg/100 g;;;;;
Nutrient;Cabbage calcium;cabbage_calcium;posnorm;38.00;;42.00;mg/100 g;;;;;
Nutrient;Rice calcium;rice_calcium;posnorm;8.00;;12.00;mg/100 g;;;;;
Nutrient;Potato iron;potato_iron;posnorm;0.50;;1.00;mg/100 g;;;;;
Nutrient;Shallot iron;shallot_iron;posnorm;0.05;;0.40;mg/100 g;;;;;
Nutrient;Chili iron;chili_iron;posnorm;0.50;;1.50;mg/100 g;;;;;
Nutrient;Carrot iron;carrot_iron;posnorm;0.10;;0.50;mg/100 g;;;;;
Nutrient;Cabbage iron;cabbage_iron;posnorm;0.30;;0.80;mg/100 g;;;;;
Nutrient;Rice iron;rice_iron;posnorm;0.40;;1.00;mg/100 g;;;;;
Nutrient;Potato magnesium;potato_magnesium;posnorm;21.00;;25.00;mg/100 g;;;;;
Nutrient;Shallot magnesium;shallot_magnesium;posnorm;4.00;;8.00;mg/100 g;;;;;
Nutrient;Chili magnesium;chili_magnesium;posnorm;23.00;;28.00;mg/100 g;;;;;
Nutrient;Carrot magnesium;carrot_magnesium;posnorm;8.00;;12.00;mg/100 g;;;;;
Nutrient;Cabbage magnesium;cabbage_magnesium;posnorm;10.00;;14.00;mg/100 g;;;;;
Nutrient;Rice magnesium;rice_magnesium;posnorm;23.00;;28.00;mg/100 g;;;;;
Nutrient;Potato phosphorus;potato_phosphorus;posnorm;55.00;;60.00;mg/100 g;;;;;
Nutrient;Shallot phosphorus;shallot_phosphorus;posnorm;27.00;;33.00;mg/100 g;;;;;
Nutrient;Chili phosphorus;chili_phosphorus;posnorm;16.00;;20.00;mg/100 g;;;;;
Nutrient;Carrot phosphorus;carrot_phosphorus;posnorm;33.00;;38.00;mg/100 g;;;;;
Nutrient;Cabbage phosphorus;cabbage_phosphorus;posnorm;24.00;;28.00;mg/100 g;;;;;
Nutrient;Rice phosphorus;rice_phosphorus;posnorm;110.00;;120.00;mg/100 g;;;;;
Nutrient;Potato potassium;potato_potassium;posnorm;415.00;;430.00;mg/100 g;;;;;
Nutrient;Shallot potassium;shallot_potassium;posnorm;140.00;;150.00;mg/100 g;;;;;
Nutrient;Chili potassium;chili_potassium;posnorm;312.00;;332.00;mg/100 g;;;;;
Nutrient;Carrot potassium;carrot_potassium;posnorm;310.00;;330.00;mg/100 g;;;;;
Nutrient;Cabbage potassium;cabbage_potassium;posnorm;165.00;;175.00;mg/100 g;;;;;
Nutrient;Rice potassium;rice_potassium;posnorm;110.00;;120.00;mg/100 g;;;;;
Nutrient;Potato sodium;potato_sodium;posnorm;4.00;;8.00;mg/100 g;;;;;
Nutrient;Shallot sodium;shallot_sodium;posnorm;2.00;;6.00;mg/100 g;;;;;
Nutrient;Chili sodium;chili_sodium;posnorm;7.00;;11.00;mg/100 g;;;;;
Nutrient;Carrot sodium;carrot_sodium;posnorm;67.00;;72.00;mg/100 g;;;;;
Nutrient;Cabbage sodium;cabbage_sodium;posnorm;16.00;;20.00;mg/100 g;;;;;
Nutrient;Rice sodium;rice_sodium;posnorm;0.80;;1.20;mg/100 g;;;;;
Nutrient;Potato production cost;potato_production_cost;posnorm;73000000.00;;90000000.00;IDR/ha/season;;;;;
Nutrient;Shallot production cost;shallot_production_cost;posnorm;37000000.00;;55000000.00;IDR/ha/season;;;;;
Nutrient;Chili production cost;chili_production_cost;posnorm;40000000.00;;58000000.00;IDR/ha/season;;;;;
Nutrient;Carrot production cost;carrot_production_cost;posnorm;26000000.00;;44000000.00;IDR/ha/season;;;;;
Nutrient;Cabbage production cost;cabbage_production_cost;posnorm;18000000.00;;37000000.00;IDR/ha/season;;;;;
Nutrient;Rice production cost;rice_production_cost;posnorm;14000000.00;;32000000.00;IDR/ha/season;;;;;
Cost-storage maintenance;Storage maintenance cost;warehouse_maintenance_cost;posnorm;2000000.00;;8000000.00;IDR/year;;;;;
Depreciation cost;Vegetable irrigation;pipe_installation;posnorm;7000000.00;;13000000.00;IDR/ha;;;;;
Depreciation cost;Storage facility;warehouse;posnorm;20000000.00;;80000000.00;IDR/unit;;;;;
Discount rate;Discount rate;discount_rate;posnorm;0.05;;0.10;;;;;;
Year;Year of implementation;n_year;const;25.00;;25.00;;;;;;
